u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
20.533161,17.968031,16.827314,16.373095,16.091063,190.0012612,21.91061999
18.894476,17.674576,17.208895,17.033516,16.97294,190.0023299,21.87464109
18.290901,17.022612,16.625498,16.431305,16.399673,190.0122402,21.70299891
19.784182,17.820679,17.003235,16.721306,16.541569,190.0129122,23.66791335
18.874607,17.638632,17.120625,16.907972,16.849592,190.0129511,24.79750668
17.86754,16.639681,16.141216,15.965429,15.92807,190.0224422,24.75205129
18.8792,17.440918,16.783993,16.498568,16.322937,190.0249522,22.5581132
18.352959,16.790821,16.15914,15.892138,15.750802,190.0229745,22.4904706
19.13571,17.17157,16.468216,16.240795,16.100643,190.0189976,23.31983953
18.790855,17.476933,17.014111,16.79092,16.637476,190.0243252,23.35194988
19.145519,16.804733,15.933923,15.629789,15.496177,190.0129405,20.40670432
18.17034,17.356983,17.053757,16.946266,16.887997,190.0578442,24.01144393
19.677872,17.954597,17.324135,17.123587,17.010965,190.0289198,21.49413875
17.438683,16.251499,15.854064,15.743556,15.747505,190.0272084,22.72588675
17.936586,16.434299,15.833981,15.57057,15.441114,190.0293909,23.52488071
18.883848,17.980923,17.684792,17.611734,17.569311,190.0651283,23.48945729
17.04129,15.772053,15.495051,15.349021,15.351124,190.0567512,21.72943023
18.358896,17.211678,17.078781,17.004826,16.935291,190.0673669,22.55219875
17.9025,16.526434,15.972104,15.741626,15.595447,190.0676,22.49044534
20.398233,17.731331,16.401684,15.739979,15.403962,190.055263,22.94013784
17.929996,16.880173,16.482742,16.353615,16.206572,190.0616968,23.46151675
18.4095,16.875046,16.229204,15.947639,15.795818,190.064603,24.10717667
17.654909,16.321001,15.791855,15.520825,15.477778,190.0647407,20.33601492
18.154593,17.284355,16.919685,16.780781,16.705008,190.0660182,20.33852302
17.389656,15.943317,15.415464,15.246211,15.178227,190.0551293,20.69983424
18.966152,17.842972,17.413029,17.218576,17.156904,190.1074241,24.00908161
18.818127,17.119886,16.451841,16.166504,16.075933,190.144606,23.8747109
