Sp_Class  ,  u_mag  ,  g_mag  ,  r_mag  ,  i_mag  ,  z_mag ,RA,Dec
DA_auto      ,19.186,18.835,18.884,19.052,19.407,0.028147,-0.781616
DA           ,19.421,19.565,20,20.277,21.152,0.029836,-9.727753
DQ           ,19.413,19.091,19.052,19.12,19.339,0.048182,-8.835651
DA_auto      ,20.423,20.041,19.925,20.03,20.012,0.051346,-0.845157
DA           ,19.285,18.891,18.81,18.886,18.958,0.093902,-10.86171
DA           ,18.213,18.196,18.524,18.88,19.116,0.095323,-0.109921
DA_auto      ,18.284,17.849,18.042,18.24,18.479,0.141971,-1.138883
DQ           ,19.146,18.728,18.686,18.667,18.812,0.21852,-0.436291
DC           ,19.257,18.997,18.954,19.031,19.108,0.2266,-9.135448
DA_auto      ,19.282,18.844,19.069,19.296,19.502,0.266915,0.065503
DC           ,19.096,18.521,18.317,18.275,18.301,0.347011,-11.198875
DA_auto      ,19.048,18.847,19.154,19.476,19.746,0.364507,0.633086
DB           ,19.944,20.124,20.405,20.579,20.957,0.523203,0.344921
DAZ          ,20.094,19.793,20.039,20.257,20.459,0.691639,-1.142187
DA_auto      ,18.969,18.579,18.556,18.648,18.654,0.719906,13.892236
DA           ,19.346,18.855,18.829,18.916,19,0.7847,-9.696408
DA           ,18.94,18.485,18.536,18.616,18.805,0.990141,-0.827536
DA           ,18.94,18.485,18.536,18.616,18.805,0.990141,-0.827536
DA_auto      ,19.308,18.967,19.19,19.448,19.642,1.120784,0.967213
DA_auto      ,18.948,18.542,18.534,18.587,18.677,1.173974,15.478089
DA           ,20.294,20.256,20.441,20.873,21.091,1.341735,-9.541884
DA           ,19.41,18.938,18.923,19.008,19.191,1.443362,-9.665224
DQhot_H:     ,17.31,17.685,18.1,18.46,18.757,1.482943,-10.037089
DZ           ,19.061,18.737,18.717,18.815,18.906,1.488527,0.309239
DA           ,18.35,18.654,19.146,19.521,19.635,1.594222,1.166313
DA           ,18.722,18.667,18.941,19.204,19.338,1.627345,0.389989
DA_auto      ,19.457,18.998,19.051,19.084,19.138,1.652583,16.043816
DA           ,19.891,19.606,19.918,20.101,20.05,1.685668,-11.221349
DA_auto      ,19.531,19.377,19.622,19.864,20.09,1.781765,1.241754
DA           ,19.057,18.904,19.19,19.471,19.647,1.820187,-10.319006
DB           ,18.135,18.225,18.51,18.792,19.081,1.834206,-0.3904
DB           ,19.503,19.59,19.938,20.159,20.194,1.879879,-9.980392
DA           ,19.497,19.763,20.116,20.564,20.341,1.888114,-9.355847
